               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.16092,            0.012972,            0.031656,             0.36565,            0.010753,           0.0034548,          0.00072729,             0.14777,            0.009241,            0.025708,            0.070217,           0.0033092,           0.0033092
                   1,             0.13642,            0.010412,            0.014998,             0.38253,            0.039744,            0.011133,           0.0022948,             0.14172,            0.009697,            0.011488,             0.03956,           0.0059849,           0.0059849
                   2,             0.12938,            0.011486,            0.010417,              0.4631,            0.092206,             0.05184,             0.01332,             0.13683,            0.010691,            0.010603,           0.0082422,           0.0080006,           0.0080006
                   3,             0.12034,            0.012623,            0.010065,             0.52872,             0.14738,            0.097192,            0.026492,             0.12124,             0.01306,            0.011025,             0.00703,             0.00703,             0.00703
                   4,             0.11257,            0.013243,           0.0091765,             0.57146,             0.16957,             0.14421,            0.043107,              0.1162,            0.013474,           0.0095176,             0.00703,             0.00703,             0.00703
                   5,             0.10751,            0.013457,           0.0088698,             0.60696,             0.16296,             0.15062,            0.048959,             0.11236,             0.01404,            0.010028,             0.00604,             0.00604,             0.00604
                   6,             0.10126,            0.013806,           0.0086183,             0.55408,              0.1436,             0.12457,            0.031661,             0.11463,            0.013192,           0.0090728,             0.00505,             0.00505,             0.00505
                   7,            0.098083,            0.014063,           0.0081992,             0.63649,             0.16034,             0.16113,             0.04076,             0.11067,            0.013343,           0.0091662,             0.00406,             0.00406,             0.00406
                   8,            0.092622,             0.01454,           0.0082316,              0.6627,             0.15791,             0.16053,             0.04384,              0.1087,            0.013583,           0.0091737,             0.00307,             0.00307,             0.00307
                   9,            0.089596,            0.014584,           0.0074589,             0.58544,             0.19576,             0.17063,            0.045571,              0.1068,            0.013997,           0.0090035,             0.00208,             0.00208,             0.00208
