               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093838,            0.014819,           0.0082805,             0.59491,             0.17375,             0.15575,            0.046718,             0.11069,            0.013712,           0.0092108,            0.070217,           0.0033092,           0.0033092
                   1,              0.1002,            0.013743,           0.0084627,             0.67354,             0.13211,             0.13432,            0.032325,             0.11743,            0.012866,           0.0091257,             0.03956,           0.0059849,           0.0059849
                   2,              0.1038,             0.01329,           0.0080705,             0.48248,             0.13794,            0.089408,             0.02243,             0.12049,            0.012493,             0.00933,           0.0082422,           0.0080006,           0.0080006
                   3,             0.10272,            0.013289,           0.0082417,             0.51236,             0.12364,            0.091032,            0.020838,             0.11693,            0.012916,           0.0094907,             0.00703,             0.00703,             0.00703
                   4,             0.10034,            0.013376,           0.0077396,             0.52303,             0.12116,             0.09865,            0.025974,              0.1204,            0.012846,           0.0096384,             0.00703,             0.00703,             0.00703
                   5,            0.097373,            0.013633,           0.0079322,             0.64312,             0.19077,             0.18612,            0.056743,              0.1058,            0.014497,           0.0097117,             0.00604,             0.00604,             0.00604
                   6,            0.093688,            0.013889,           0.0081308,             0.66754,              0.1437,             0.14528,            0.034942,              0.1133,            0.013456,           0.0096198,             0.00505,             0.00505,             0.00505
                   7,            0.092147,               0.014,           0.0077558,             0.66685,             0.17284,             0.17062,            0.045372,             0.10978,             0.01324,           0.0088745,             0.00406,             0.00406,             0.00406
                   8,            0.087125,             0.01434,           0.0077402,             0.68831,             0.17284,             0.18186,            0.052632,             0.10428,            0.013935,           0.0085003,             0.00307,             0.00307,             0.00307
                   9,            0.084885,            0.014333,           0.0069476,             0.65324,             0.20203,             0.20177,             0.06064,             0.10151,            0.014359,           0.0088203,             0.00208,             0.00208,             0.00208
