               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13512,            0.015394,            0.052385,             0.41061,             0.11084,            0.077825,             0.02549,             0.10031,            0.022456,            0.049032,             0.07012,             0.00332,             0.00332
                   1,             0.10194,            0.014191,            0.042987,             0.13185,             0.22885,              0.1476,            0.063464,            0.087375,            0.018814,            0.042946,            0.039461,           0.0059947,           0.0059947
                   2,            0.096339,            0.012718,            0.039445,             0.14056,             0.30637,             0.18404,             0.08476,            0.080641,            0.018059,            0.040313,           0.0081426,           0.0080093,           0.0080093
                   3,            0.089975,            0.012488,            0.035901,             0.35048,             0.29074,             0.26229,             0.11472,            0.077696,            0.017298,            0.036661,             0.00703,             0.00703,             0.00703
                   4,            0.084847,            0.012247,              0.0318,             0.38887,             0.34601,             0.31159,             0.13113,             0.07541,            0.016426,            0.031222,             0.00703,             0.00703,             0.00703
                   5,            0.081112,            0.012038,            0.027912,             0.39845,             0.39318,             0.33059,             0.13245,            0.076741,            0.015889,            0.028329,             0.00604,             0.00604,             0.00604
                   6,            0.077056,            0.012171,            0.025597,              0.4579,             0.43962,             0.40341,             0.18146,            0.070796,             0.01598,            0.025918,             0.00505,             0.00505,             0.00505
                   7,            0.073456,            0.011712,            0.023483,             0.50298,             0.42699,             0.39916,             0.17656,            0.069709,            0.016034,            0.025731,             0.00406,             0.00406,             0.00406
                   8,            0.071491,            0.011761,            0.022632,             0.44796,             0.49756,             0.44757,             0.20794,            0.067293,            0.015592,            0.024328,             0.00307,             0.00307,             0.00307
                   9,            0.068507,            0.011339,            0.021548,             0.53311,             0.47724,              0.4626,             0.20376,            0.067639,            0.015742,            0.023478,             0.00208,             0.00208,             0.00208
