               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068901,            0.011208,            0.021953,             0.51777,             0.44617,              0.4294,              0.1952,            0.070185,            0.015982,            0.024649,             0.07012,             0.00332,             0.00332
                   1,             0.07235,            0.011357,            0.021585,             0.48356,             0.46255,             0.43345,             0.21013,            0.070063,            0.015813,            0.026203,            0.039461,           0.0059947,           0.0059947
                   2,            0.075945,            0.011303,            0.021685,             0.61102,             0.38142,             0.42063,             0.18556,            0.074492,            0.015605,            0.024984,           0.0081426,           0.0080093,           0.0080093
                   3,            0.075932,            0.011568,            0.021721,             0.53655,              0.4598,             0.44581,             0.20783,            0.069195,            0.016018,            0.024289,             0.00703,             0.00703,             0.00703
                   4,            0.075052,            0.011353,            0.021199,             0.51736,             0.46231,             0.43496,             0.17347,            0.073524,            0.015561,            0.023893,             0.00703,             0.00703,             0.00703
                   5,            0.072582,            0.011155,            0.019946,             0.51475,             0.48437,             0.45963,             0.20503,            0.068987,            0.015484,            0.023078,             0.00604,             0.00604,             0.00604
                   6,            0.069853,             0.01132,            0.019191,              0.5543,             0.48874,             0.47271,             0.21656,            0.069186,            0.015694,            0.022746,             0.00505,             0.00505,             0.00505
                   7,            0.067445,            0.010942,            0.018142,             0.61066,             0.50106,             0.48516,             0.21563,            0.068937,            0.015342,            0.021875,             0.00406,             0.00406,             0.00406
                   8,            0.066194,             0.01102,            0.017468,             0.62889,             0.50502,             0.51994,              0.2475,            0.065079,            0.015593,            0.021891,             0.00307,             0.00307,             0.00307
                   9,            0.064346,            0.010725,            0.017241,             0.64044,             0.51989,             0.52932,             0.24327,            0.065253,            0.015333,            0.020612,             0.00208,             0.00208,             0.00208
