               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.058572,           0.0096326,            0.011249,             0.74436,             0.52557,             0.58453,             0.26286,             0.06634,             0.01492,            0.020365,             0.07012,             0.00332,             0.00332
                   1,            0.059943,           0.0096401,            0.010087,             0.69413,             0.55976,             0.59208,             0.28281,            0.064668,            0.014564,            0.020299,            0.039461,           0.0059947,           0.0059947
                   2,            0.062272,           0.0097218,             0.01024,             0.72781,             0.53828,             0.57479,             0.27406,            0.064368,            0.015164,            0.021347,           0.0081426,           0.0080093,           0.0080093
                   3,            0.062987,           0.0099878,            0.011106,             0.71644,             0.54338,             0.58085,             0.28095,            0.064319,            0.015242,            0.019927,             0.00703,             0.00703,             0.00703
                   4,            0.062613,            0.009933,            0.011152,             0.76923,             0.53378,              0.5917,             0.26752,            0.066713,            0.015141,            0.019794,             0.00703,             0.00703,             0.00703
                   5,            0.061542,           0.0099094,            0.011377,             0.70245,             0.52111,             0.56092,             0.25686,            0.065582,            0.015466,            0.021493,             0.00604,             0.00604,             0.00604
                   6,            0.060378,            0.010015,            0.011018,             0.79798,              0.5179,             0.58343,             0.27974,            0.064725,            0.015061,            0.021863,             0.00505,             0.00505,             0.00505
                   7,            0.058219,           0.0097451,            0.010377,             0.73592,             0.55318,             0.57401,             0.26873,            0.064316,            0.015203,            0.021379,             0.00406,             0.00406,             0.00406
                   8,            0.058139,           0.0097869,            0.010264,              0.7835,             0.54713,             0.61039,             0.29879,            0.062707,            0.014823,             0.02129,             0.00307,             0.00307,             0.00307
                   9,            0.056726,           0.0096061,            0.010026,              0.7184,             0.59602,             0.62083,             0.30219,            0.062092,            0.014942,            0.020338,             0.00208,             0.00208,             0.00208
